name,pa,xwoba,barrel_batted_rate,hard_hit_percent,k_percent,bb_percent,whiff_percent,SMASH,tier
"Sosa, Lenyn",117,0.249,5.6,36.7,21.4,0.9,21.5,43.2,RED
"Bader, Harrison",111,0.272,8.2,41.1,30.6,3.6,32.0,43.2,RED
"Narváez, Carlos",170,0.27,6.9,38.2,31.8,6.5,31.5,43.0,RED
"Rogers, Jake",96,0.241,7.3,36.4,31.3,10.4,29.8,42.9,RED
"Dezenzo, Zach",60,0.28,12.5,25.0,36.7,10.0,37.1,42.7,RED
"Nuñez, Nasim",299,0.27,0.5,21.0,23.7,10.7,22.9,42.7,RED
"Millas, Drew",149,0.264,3.2,21.1,24.2,8.7,23.2,42.5,RED
"Refsnyder, Rob",119,0.249,6.5,33.8,26.9,5.9,27.5,42.5,RED
"Matthews, Brice",223,0.262,8.8,38.0,31.8,6.7,35.9,42.4,RED
"Rincones Jr., Gabriel",63,0.229,9.8,38.6,25.4,3.2,29.2,42.4,RED
"Short, Zack",55,0.261,6.7,23.3,30.9,12.7,31.8,42.4,RED
"Vázquez, Christian",185,0.237,1.4,22.9,17.3,7.0,18.5,42.3,RED
"Scott II, Victor",184,0.273,0.8,23.8,23.9,8.7,24.9,42.3,RED
"Robles, Victor",98,0.266,2.7,18.9,17.3,5.1,23.9,42.2,RED
"Caballero, José",289,0.272,4.0,25.0,23.2,5.5,27.4,42.2,RED
"Trevino, Jose",67,0.244,1.9,32.1,14.9,1.5,22.7,42.2,RED
"Arroyo, Edwin",96,0.306,0.0,21.7,21.9,3.1,24.4,42.2,RED
"Arcia, Orlando",50,0.245,2.5,25.0,16.0,4.0,22.1,42.1,RED
"Lopez, Nicky",117,0.259,0.0,22.1,14.5,2.6,18.3,42.0,RED
"Wynns, Austin",57,0.265,5.0,27.5,24.6,5.3,28.1,42.0,RED
"Giménez, Andrés",306,0.266,3.5,23.8,19.6,3.6,25.1,42.0,RED
"Wilson, Weston",60,0.264,2.8,29.7,26.7,10.0,32.8,41.8,RED
"Gray, Tristan",176,0.267,6.4,38.2,31.8,5.1,33.6,41.6,RED
"McCutchen, Andrew",83,0.237,5.8,28.8,26.5,10.8,32.5,41.6,RED
"Wallner, Matt",135,0.281,10.4,40.3,39.3,7.4,44.0,41.5,RED
